source,date,country,countrycode,adm_area_1,adm_area_2,adm_area_3,tested,confirmed,recovered,dead,hospitalised,hospitalised_icu,quarantined
DEU_JPGG,26-03-2020,Germany,DEU,Bremen,,,,213,,1,,,
DEU_JPGG,26-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,246,,,,,
DEU_JPGG,27-03-2020,Germany,DEU,Saarland,,,,614,,6,,,
DEU_JPGG,27-03-2020,Germany,DEU,Bremen,,,,264,,2,,,
DEU_JPGG,27-03-2020,Germany,DEU,Brandenburg,,,,680,,3,,,
DEU_JPGG,27-03-2020,Germany,DEU,Schleswig-Holstein,,,,862,,4,,,
DEU_JPGG,27-03-2020,Germany,DEU,Thüringen,,,,633,,4,,,
DEU_JPGG,27-03-2020,Germany,DEU,Niedersachsen,,,,3303,,19,,,
DEU_JPGG,27-03-2020,Germany,DEU,Hamburg,,,,1759,,2,,,
DEU_JPGG,27-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,299,,,,,
DEU_JPGG,27-03-2020,Germany,DEU,Rheinland-Pfalz,,,,2280,,12,,,
DEU_JPGG,27-03-2020,Germany,DEU,Baden-Württemberg,,,,10272,,104,,,
DEU_JPGG,27-03-2020,Germany,DEU,Sachsen,,,,1507,,9,,,
DEU_JPGG,27-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,12002,,94,,,
DEU_JPGG,27-03-2020,Germany,DEU,Hessen,,,,2470,,10,,,
DEU_JPGG,27-03-2020,Germany,DEU,Berlin,,,,2152,,8,,,
DEU_JPGG,27-03-2020,Germany,DEU,Bayern,,,,11220,,72,,,
DEU_JPGG,27-03-2020,Germany,DEU,Sachsen-Anhalt,,,,554,,2,,,
DEU_JPGG,28-03-2020,Germany,DEU,Bremen,,,,278,,2,,,
DEU_JPGG,28-03-2020,Germany,DEU,Sachsen-Anhalt,,,,604,,2,,,
DEU_JPGG,28-03-2020,Germany,DEU,Sachsen,,,,1719,,9,,,
DEU_JPGG,28-03-2020,Germany,DEU,Niedersachsen,,,,3630,,23,,,
DEU_JPGG,28-03-2020,Germany,DEU,Saarland,,,,669,,6,,,
DEU_JPGG,28-03-2020,Germany,DEU,Brandenburg,,,,766,,4,,,
DEU_JPGG,28-03-2020,Germany,DEU,Hessen,,,,2844,,13,,,
DEU_JPGG,28-03-2020,Germany,DEU,Bayern,,,,12737,,106,,,
DEU_JPGG,28-03-2020,Germany,DEU,Thüringen,,,,703,,5,,,
DEU_JPGG,28-03-2020,Germany,DEU,Schleswig-Holstein,,,,925,,4,,,
DEU_JPGG,28-03-2020,Germany,DEU,Rheinland-Pfalz,,,,2499,,13,,,
DEU_JPGG,28-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,348,,1,,,
DEU_JPGG,28-03-2020,Germany,DEU,Hamburg,,,,1935,,4,,,
DEU_JPGG,28-03-2020,Germany,DEU,Baden-Württemberg,,,,11510,,115,,,
DEU_JPGG,28-03-2020,Germany,DEU,Berlin,,,,2337,,9,,,
DEU_JPGG,28-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,13013,,107,,,
DEU_JPGG,29-03-2020,Germany,DEU,Thüringen,,,,752,,5,,,
DEU_JPGG,29-03-2020,Germany,DEU,Bayern,,,,14021,,125,,,
DEU_JPGG,29-03-2020,Germany,DEU,Rheinland-Pfalz,,,,2712,,18,,,
DEU_JPGG,29-03-2020,Germany,DEU,Hessen,,,,3037,,13,,,
DEU_JPGG,29-03-2020,Germany,DEU,Saarland,,,,714,,9,,,
DEU_JPGG,29-03-2020,Germany,DEU,Nordrhein-Westfalen,,,,13997,,116,,,
DEU_JPGG,29-03-2020,Germany,DEU,Mecklenburg-Vorpommern,,,,361,,1,,,
DEU_JPGG,29-03-2020,Germany,DEU,Hamburg,,,,2078,,4,,,
DEU_JPGG,29-03-2020,Germany,DEU,Berlin,,,,2462,,11,,,
DEU_JPGG,29-03-2020,Germany,DEU,Bremen,,,,290,,2,,,
DEU_JPGG,29-03-2020,Germany,DEU,Sachsen-Anhalt,,,,645,,2,,,
DEU_JPGG,29-03-2020,Germany,DEU,Niedersachsen,,,,3911,,27,,,
DEU_JPGG,29-03-2020,Germany,DEU,Brandenburg,,,,835,,4,,,
DEU_JPGG,29-03-2020,Germany,DEU,Sachsen,,,,1856,,9,,,
DEU_JPGG,29-03-2020,Germany,DEU,Schleswig-Holstein,,,,1008,,6,,,
